names,files,condition
GSM3773108,rnaseq/quant/GSM3773108_quant/qant.sf,ns
GSM3773109,rnaseq/quant/GSM3773109_quant/qant.sf,ns
GSM3773111,rnaseq/quant/GSM3773111_quant/qant.sf,ns
GSM3773112,rnaseq/quant/GSM3773112_quant/qant.sf,ns
GSM3773114,rnaseq/quant/GSM3773114_quant/qant.sf,ns
GSM3773116,rnaseq/quant/GSM3773116_quant/qant.sf,ns
GSM3773117,rnaseq/quant/GSM3773117_quant/qant.sf,cs
GSM3773119,rnaseq/quant/GSM3773119_quant/qant.sf,cs
GSM3773121,rnaseq/quant/GSM3773121_quant/qant.sf,cs
GSM3773122,rnaseq/quant/GSM3773122_quant/qant.sf,cs
GSM3773124,rnaseq/quant/GSM3773124_quant/qant.sf,cs
GSM3773125,rnaseq/quant/GSM3773125_quant/qant.sf,cs
